path,disposition,rationale,references_legacy_collector_id
.agents/skills/code-review/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/code-review/agents/openai.yaml,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/codebase-design/DEEPENING.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/codebase-design/DESIGN-IT-TWICE.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/codebase-design/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/codebase-design/agents/openai.yaml,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/diagnosing-bugs/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/diagnosing-bugs/agents/openai.yaml,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/diagnosing-bugs/scripts/hitl-loop.template.sh,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/domain-modeling/ADR-FORMAT.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/domain-modeling/CONTEXT-FORMAT.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/domain-modeling/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/domain-modeling/agents/openai.yaml,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/implement/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/implement/agents/openai.yaml,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
.agents/skills/setup-matt-pocock-skills/SKILL.md,RETAIN,Generic agent skill library (code-review/tdd/etc.); domain-neutral tooling,no
